Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
Frey,Graded (No Limit),A Finals,3rd,Hishi Amazon,End Closer,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Hishi Amazon - End Closer - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Wadachi,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace
FzyBny,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Front Blocker,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Soff,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Sakura Bakushin O,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace,Sakura Bakushin O - Front Runner - Unity Cup Scenario Ace
Hi,Graded (No Limit),A Finals,3rd,El Condor Pasa,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,El Condor Pasa - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
BlazingDawn,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Front Blocker,Agnes Digital,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Front Blocker,Agnes Digital - Late Surger - Unity Cup Scenario Ace
Wully,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Fate,Graded (No Limit),A Finals,3rd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
lop,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace
Phos,Graded (No Limit),A Finals,3rd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Linird,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
